Number of Cars,Average Flux,Configuration
26,0.62,No Traffic Lights
27,0.65,No Traffic Lights
27,0.6475,No Traffic Lights
27,0.64,No Traffic Lights
28,0.6625,No Traffic Lights
28,0.67125,No Traffic Lights
28,0.66875,No Traffic Lights
29,0.68,No Traffic Lights
29,0.6875,No Traffic Lights
29,0.67125,No Traffic Lights
30,0.68625,No Traffic Lights
30,0.6925,No Traffic Lights
30,0.68,No Traffic Lights
31,0.675,No Traffic Lights
31,0.6975,No Traffic Lights
31,0.695,No Traffic Lights
32,0.68125,No Traffic Lights
32,0.66125,No Traffic Lights
32,0.6825,No Traffic Lights
33,0.66375,No Traffic Lights
33,0.6625,No Traffic Lights
33,0.67,No Traffic Lights
34,0.67375,No Traffic Lights
34,0.67375,No Traffic Lights
34,0.64875,No Traffic Lights
35,0.6475,No Traffic Lights
35,0.65375,No Traffic Lights
35,0.65625,No Traffic Lights
36,0.63875,No Traffic Lights
36,0.6525,No Traffic Lights
36,0.65875,No Traffic Lights
37,0.665,No Traffic Lights
37,0.65,No Traffic Lights
37,0.64625,No Traffic Lights
38,0.64375,No Traffic Lights
38,0.645,No Traffic Lights
38,0.655,No Traffic Lights
39,0.64625,No Traffic Lights
39,0.645,No Traffic Lights
39,0.645,No Traffic Lights
40,0.6375,No Traffic Lights
40,0.64625,No Traffic Lights
40,0.64875,No Traffic Lights
41,0.6275,No Traffic Lights
41,0.62625,No Traffic Lights
41,0.63625,No Traffic Lights
42,0.635,No Traffic Lights
42,0.62125,No Traffic Lights
42,0.6325,No Traffic Lights
43,0.62625,No Traffic Lights
43,0.64125,No Traffic Lights
43,0.625,No Traffic Lights
44,0.635,No Traffic Lights
44,0.625,No Traffic Lights
44,0.62,No Traffic Lights
45,0.6375,No Traffic Lights
45,0.635,No Traffic Lights
45,0.61875,No Traffic Lights
46,0.63125,No Traffic Lights
46,0.62625,No Traffic Lights
46,0.62625,No Traffic Lights
47,0.6275,No Traffic Lights
47,0.62625,No Traffic Lights
47,0.6125,No Traffic Lights
48,0.61875,No Traffic Lights
48,0.6,No Traffic Lights
48,0.61625,No Traffic Lights
49,0.60625,No Traffic Lights
49,0.6125,No Traffic Lights
49,0.605,No Traffic Lights
50,0.60875,No Traffic Lights
50,0.61,No Traffic Lights
50,0.61,No Traffic Lights
51,0.61375,No Traffic Lights
51,0.5975,No Traffic Lights
51,0.61,No Traffic Lights
52,0.605,No Traffic Lights
52,0.60625,No Traffic Lights
52,0.59625,No Traffic Lights
53,0.59375,No Traffic Lights
53,0.605,No Traffic Lights
53,0.6025,No Traffic Lights
54,0.58625,No Traffic Lights
54,0.585,No Traffic Lights
54,0.5925,No Traffic Lights
55,0.5825,No Traffic Lights
55,0.59,No Traffic Lights
55,0.595,No Traffic Lights
56,0.585,No Traffic Lights
56,0.58375,No Traffic Lights
56,0.59125,No Traffic Lights
57,0.5825,No Traffic Lights
57,0.58125,No Traffic Lights
57,0.59,No Traffic Lights
58,0.58625,No Traffic Lights
58,0.57875,No Traffic Lights
58,0.575,No Traffic Lights
59,0.57875,No Traffic Lights
59,0.57625,No Traffic Lights
59,0.56625,No Traffic Lights
60,0.5725,No Traffic Lights
60,0.58,No Traffic Lights
60,0.57125,No Traffic Lights
61,0.56125,No Traffic Lights
61,0.57375,No Traffic Lights
61,0.5575,No Traffic Lights
62,0.565,No Traffic Lights
62,0.5575,No Traffic Lights
62,0.55875,No Traffic Lights
63,0.57,No Traffic Lights
63,0.5575,No Traffic Lights
63,0.555,No Traffic Lights
64,0.55375,No Traffic Lights
64,0.55625,No Traffic Lights
64,0.56125,No Traffic Lights
65,0.5525,No Traffic Lights
65,0.55,No Traffic Lights
65,0.55875,No Traffic Lights
66,0.55375,No Traffic Lights
66,0.56125,No Traffic Lights
66,0.5525,No Traffic Lights
67,0.54625,No Traffic Lights
67,0.54375,No Traffic Lights
67,0.54875,No Traffic Lights
68,0.53375,No Traffic Lights
68,0.5425,No Traffic Lights
68,0.535,No Traffic Lights
69,0.54,No Traffic Lights
69,0.54125,No Traffic Lights
69,0.53875,No Traffic Lights
70,0.5425,No Traffic Lights
70,0.53625,No Traffic Lights
70,0.5375,No Traffic Lights
71,0.525,No Traffic Lights
71,0.54375,No Traffic Lights
71,0.53625,No Traffic Lights
72,0.51875,No Traffic Lights
72,0.5325,No Traffic Lights
72,0.52625,No Traffic Lights
73,0.52625,No Traffic Lights
73,0.53125,No Traffic Lights
73,0.5225,No Traffic Lights
74,0.52625,No Traffic Lights
74,0.5275,No Traffic Lights
74,0.52375,No Traffic Lights
75,0.525,No Traffic Lights
75,0.51375,No Traffic Lights
75,0.51625,No Traffic Lights
76,0.50625,No Traffic Lights
76,0.51,No Traffic Lights
76,0.50875,No Traffic Lights
77,0.50375,No Traffic Lights
77,0.5075,No Traffic Lights
77,0.5075,No Traffic Lights
78,0.5125,No Traffic Lights
78,0.50875,No Traffic Lights
78,0.50375,No Traffic Lights
79,0.5025,No Traffic Lights
79,0.48875,No Traffic Lights
79,0.50625,No Traffic Lights
80,0.49375,No Traffic Lights
80,0.49125,No Traffic Lights
80,0.49,No Traffic Lights
81,0.48375,No Traffic Lights
81,0.5,No Traffic Lights
81,0.495,No Traffic Lights
82,0.4875,No Traffic Lights
82,0.49,No Traffic Lights
82,0.4975,No Traffic Lights
83,0.485,No Traffic Lights
83,0.48375,No Traffic Lights
83,0.49375,No Traffic Lights
84,0.485,No Traffic Lights
84,0.4775,No Traffic Lights
84,0.48625,No Traffic Lights
85,0.48125,No Traffic Lights
85,0.48,No Traffic Lights
85,0.4725,No Traffic Lights
86,0.4775,No Traffic Lights
86,0.47375,No Traffic Lights
86,0.47375,No Traffic Lights
87,0.48,No Traffic Lights
87,0.465,No Traffic Lights
87,0.4775,No Traffic Lights
88,0.4825,No Traffic Lights
88,0.47375,No Traffic Lights
88,0.4625,No Traffic Lights
89,0.465,No Traffic Lights
89,0.465,No Traffic Lights
89,0.46625,No Traffic Lights
90,0.45875,No Traffic Lights
90,0.46125,No Traffic Lights
90,0.465,No Traffic Lights
91,0.45625,No Traffic Lights
91,0.45625,No Traffic Lights
91,0.46125,No Traffic Lights
92,0.45125,No Traffic Lights
92,0.4525,No Traffic Lights
92,0.44875,No Traffic Lights
93,0.44875,No Traffic Lights
93,0.445,No Traffic Lights
93,0.43625,No Traffic Lights
94,0.44125,No Traffic Lights
94,0.445,No Traffic Lights
94,0.44,No Traffic Lights
95,0.43625,No Traffic Lights
95,0.44,No Traffic Lights
95,0.44,No Traffic Lights
96,0.43625,No Traffic Lights
96,0.43875,No Traffic Lights
96,0.4275,No Traffic Lights
97,0.42875,No Traffic Lights
97,0.43125,No Traffic Lights
97,0.43125,No Traffic Lights
98,0.42875,No Traffic Lights
98,0.4275,No Traffic Lights
98,0.42875,No Traffic Lights
99,0.425,No Traffic Lights
99,0.42375,No Traffic Lights
99,0.42375,No Traffic Lights
100,0.42375,No Traffic Lights
100,0.43,No Traffic Lights
100,0.42125,No Traffic Lights
101,0.415,No Traffic Lights
101,0.415,No Traffic Lights
101,0.41625,No Traffic Lights
102,0.41875,No Traffic Lights
102,0.42,No Traffic Lights
102,0.415,No Traffic Lights
103,0.41,No Traffic Lights
103,0.415,No Traffic Lights
103,0.405,No Traffic Lights
104,0.4025,No Traffic Lights
104,0.4075,No Traffic Lights
104,0.40125,No Traffic Lights
105,0.40125,No Traffic Lights
105,0.4,No Traffic Lights
105,0.40625,No Traffic Lights
106,0.3925,No Traffic Lights
106,0.395,No Traffic Lights
106,0.39875,No Traffic Lights
107,0.3875,No Traffic Lights
107,0.4,No Traffic Lights
107,0.39,No Traffic Lights
108,0.39,No Traffic Lights
108,0.38625,No Traffic Lights
108,0.38875,No Traffic Lights
109,0.385,No Traffic Lights
109,0.38875,No Traffic Lights
109,0.385,No Traffic Lights
110,0.37875,No Traffic Lights
110,0.38125,No Traffic Lights
110,0.38,No Traffic Lights
111,0.385,No Traffic Lights
111,0.365,No Traffic Lights
111,0.37125,No Traffic Lights
112,0.37375,No Traffic Lights
112,0.37375,No Traffic Lights
112,0.36875,No Traffic Lights
113,0.375,No Traffic Lights
113,0.365,No Traffic Lights
113,0.36875,No Traffic Lights
114,0.36375,No Traffic Lights
114,0.37,No Traffic Lights
114,0.36,No Traffic Lights
115,0.3575,No Traffic Lights
115,0.36625,No Traffic Lights
115,0.36,No Traffic Lights
116,0.36125,No Traffic Lights
116,0.35875,No Traffic Lights
116,0.35125,No Traffic Lights
117,0.35125,No Traffic Lights
117,0.35125,No Traffic Lights
117,0.34875,No Traffic Lights
118,0.34375,No Traffic Lights
118,0.35375,No Traffic Lights
118,0.3425,No Traffic Lights
119,0.3475,No Traffic Lights
119,0.35,No Traffic Lights
119,0.3425,No Traffic Lights
120,0.34,No Traffic Lights
120,0.34,No Traffic Lights
120,0.34375,No Traffic Lights
121,0.34125,No Traffic Lights
121,0.33875,No Traffic Lights
121,0.3375,No Traffic Lights
122,0.3325,No Traffic Lights
122,0.325,No Traffic Lights
122,0.33625,No Traffic Lights
123,0.3225,No Traffic Lights
123,0.3275,No Traffic Lights
123,0.32625,No Traffic Lights
124,0.3325,No Traffic Lights
124,0.33,No Traffic Lights
124,0.32,No Traffic Lights
125,0.31875,No Traffic Lights
125,0.32,No Traffic Lights
125,0.3225,No Traffic Lights
126,0.315,No Traffic Lights
126,0.3175,No Traffic Lights
126,0.32,No Traffic Lights
127,0.3125,No Traffic Lights
127,0.31,No Traffic Lights
127,0.31,No Traffic Lights
128,0.305,No Traffic Lights
128,0.31375,No Traffic Lights
128,0.3025,No Traffic Lights
129,0.305,No Traffic Lights
129,0.30125,No Traffic Lights
129,0.30375,No Traffic Lights
130,0.3,No Traffic Lights
130,0.3025,No Traffic Lights
130,0.2975,No Traffic Lights
131,0.2925,No Traffic Lights
131,0.3,No Traffic Lights
131,0.2975,No Traffic Lights
132,0.29375,No Traffic Lights
132,0.285,No Traffic Lights
132,0.29375,No Traffic Lights
133,0.28875,No Traffic Lights
133,0.2875,No Traffic Lights
133,0.2875,No Traffic Lights
134,0.28125,No Traffic Lights
134,0.2875,No Traffic Lights
134,0.28375,No Traffic Lights
135,0.2825,No Traffic Lights
135,0.2825,No Traffic Lights
135,0.285,No Traffic Lights
136,0.28,No Traffic Lights
136,0.275,No Traffic Lights
136,0.27375,No Traffic Lights
137,0.27,No Traffic Lights
137,0.27,No Traffic Lights
137,0.26875,No Traffic Lights
138,0.26625,No Traffic Lights
138,0.2725,No Traffic Lights
138,0.26375,No Traffic Lights
139,0.26125,No Traffic Lights
139,0.26625,No Traffic Lights
139,0.26375,No Traffic Lights
140,0.2575,No Traffic Lights
140,0.25625,No Traffic Lights
140,0.2575,No Traffic Lights
141,0.25125,No Traffic Lights
141,0.2525,No Traffic Lights
141,0.24625,No Traffic Lights
142,0.2475,No Traffic Lights
142,0.25125,No Traffic Lights
142,0.25375,No Traffic Lights
143,0.24625,No Traffic Lights
143,0.2425,No Traffic Lights
143,0.25,No Traffic Lights
144,0.24125,No Traffic Lights
144,0.2375,No Traffic Lights
144,0.24,No Traffic Lights
145,0.235,No Traffic Lights
145,0.235,No Traffic Lights
145,0.23875,No Traffic Lights
146,0.235,No Traffic Lights
146,0.23375,No Traffic Lights
146,0.2425,No Traffic Lights
147,0.22875,No Traffic Lights
147,0.2275,No Traffic Lights
147,0.235,No Traffic Lights
148,0.22625,No Traffic Lights
148,0.225,No Traffic Lights
148,0.21875,No Traffic Lights
149,0.21875,No Traffic Lights
149,0.21875,No Traffic Lights
149,0.22,No Traffic Lights
150,0.2175,No Traffic Lights
150,0.21625,No Traffic Lights
150,0.22125,No Traffic Lights
151,0.21625,No Traffic Lights
151,0.215,No Traffic Lights
151,0.21375,No Traffic Lights
152,0.20625,No Traffic Lights
152,0.21125,No Traffic Lights
152,0.21375,No Traffic Lights
153,0.21,No Traffic Lights
153,0.20625,No Traffic Lights
153,0.20875,No Traffic Lights
154,0.20375,No Traffic Lights
154,0.20625,No Traffic Lights
154,0.2,No Traffic Lights
155,0.19375,No Traffic Lights
155,0.1975,No Traffic Lights
155,0.19375,No Traffic Lights
156,0.19375,No Traffic Lights
156,0.18875,No Traffic Lights
156,0.19125,No Traffic Lights
157,0.1875,No Traffic Lights
157,0.18625,No Traffic Lights
157,0.1875,No Traffic Lights
158,0.185,No Traffic Lights
158,0.19,No Traffic Lights
158,0.18,No Traffic Lights
159,0.18125,No Traffic Lights
159,0.17875,No Traffic Lights
159,0.18125,No Traffic Lights
160,0.1775,No Traffic Lights
160,0.1725,No Traffic Lights
160,0.16875,No Traffic Lights
161,0.16625,No Traffic Lights
161,0.16875,No Traffic Lights
161,0.1675,No Traffic Lights
162,0.165,No Traffic Lights
162,0.17125,No Traffic Lights
162,0.1625,No Traffic Lights
163,0.155,No Traffic Lights
163,0.16375,No Traffic Lights
163,0.16875,No Traffic Lights
164,0.155,No Traffic Lights
164,0.16,No Traffic Lights
164,0.155,No Traffic Lights
165,0.1525,No Traffic Lights
165,0.15375,No Traffic Lights
165,0.155,No Traffic Lights
166,0.15125,No Traffic Lights
166,0.14625,No Traffic Lights
166,0.15,No Traffic Lights
167,0.15,No Traffic Lights
167,0.1425,No Traffic Lights
167,0.145,No Traffic Lights
168,0.1425,No Traffic Lights
168,0.13625,No Traffic Lights
168,0.14125,No Traffic Lights
169,0.1375,No Traffic Lights
169,0.1375,No Traffic Lights
169,0.1425,No Traffic Lights
170,0.135,No Traffic Lights
170,0.13,No Traffic Lights
170,0.1325,No Traffic Lights
171,0.1275,No Traffic Lights
171,0.125,No Traffic Lights
171,0.13125,No Traffic Lights
172,0.1225,No Traffic Lights
172,0.12625,No Traffic Lights
172,0.1275,No Traffic Lights
173,0.11625,No Traffic Lights
173,0.12125,No Traffic Lights
173,0.12,No Traffic Lights
174,0.1125,No Traffic Lights
174,0.11375,No Traffic Lights
174,0.11625,No Traffic Lights
175,0.11125,No Traffic Lights
175,0.115,No Traffic Lights
175,0.115,No Traffic Lights
176,0.105,No Traffic Lights
176,0.10625,No Traffic Lights
176,0.1025,No Traffic Lights
177,0.10375,No Traffic Lights
177,0.10125,No Traffic Lights
177,0.0975,No Traffic Lights
178,0.0975,No Traffic Lights
178,0.1,No Traffic Lights
178,0.09625,No Traffic Lights
179,0.09125,No Traffic Lights
179,0.0925,No Traffic Lights
179,0.0875,No Traffic Lights
180,0.0925,No Traffic Lights
180,0.08875,No Traffic Lights
180,0.08875,No Traffic Lights
181,0.0825,No Traffic Lights
181,0.08625,No Traffic Lights
181,0.08375,No Traffic Lights
182,0.08,No Traffic Lights
182,0.0775,No Traffic Lights
182,0.08625,No Traffic Lights
183,0.07625,No Traffic Lights
183,0.07375,No Traffic Lights
183,0.075,No Traffic Lights
184,0.07125,No Traffic Lights
184,0.07,No Traffic Lights
184,0.06875,No Traffic Lights
185,0.0675,No Traffic Lights
185,0.065,No Traffic Lights
185,0.07125,No Traffic Lights
186,0.06,No Traffic Lights
186,0.05625,No Traffic Lights
186,0.06125,No Traffic Lights
187,0.06,No Traffic Lights
187,0.05875,No Traffic Lights
187,0.06125,No Traffic Lights
188,0.05375,No Traffic Lights
188,0.05125,No Traffic Lights
188,0.05125,No Traffic Lights
189,0.04625,No Traffic Lights
189,0.04625,No Traffic Lights
189,0.0475,No Traffic Lights
190,0.04375,No Traffic Lights
190,0.045,No Traffic Lights
190,0.045,No Traffic Lights
191,0.04125,No Traffic Lights
191,0.03875,No Traffic Lights
191,0.0425,No Traffic Lights
192,0.03625,No Traffic Lights
192,0.03625,No Traffic Lights
192,0.03375,No Traffic Lights
193,0.03125,No Traffic Lights
193,0.03125,No Traffic Lights
193,0.03375,No Traffic Lights
194,0.025,No Traffic Lights
194,0.02625,No Traffic Lights
194,0.02625,No Traffic Lights
195,0.02125,No Traffic Lights
195,0.02375,No Traffic Lights
195,0.02375,No Traffic Lights
196,0.01875,No Traffic Lights
196,0.0175,No Traffic Lights
196,0.01625,No Traffic Lights
197,0.0125,No Traffic Lights
197,0.01125,No Traffic Lights
197,0.0125,No Traffic Lights
198,0.0075,No Traffic Lights
198,0.00875,No Traffic Lights
198,0.01,No Traffic Lights
199,0.005,No Traffic Lights
199,0.005,No Traffic Lights
199,0.005,No Traffic Lights
